title,abstract,year,pmid,source,paperId,study_design,base_score,sample_size,evidence_score
metformin impairs breast cancer growth through the inhibition of prmt6.,"metformin is the world's widely prescribed oral medication for the treatment of type 2 diabetes mellitus, which is also shown to repress tumorigenesis without a complete understanding of its therapeutic targets. here, it is shown that metformin impairs the growth of breast cancer cells by inhibiting prmt6, a protein arginine methyltransferase primarily responsible for asymmetric dimethylation of histone h3 arginine 2 (h3r2me2a). mechanistically, metformin directly binds prmt6 and inhibits its activity to methylate h3r2, leading to prmt6 transcriptional repression and further reduces h3r2me2a. by decreasing prmt6-catalyzed h3r2me2a, metformin enhances the chromatin association of uhrf1, an accessory factor of dnmt1 to promote dna methylation and repress the transcription of dna replication-associated genes, resulting in retarded dna replication and cell cycle arrest. metformin and a dna replication inhibitor synergistically inhibit tumor growth. furthermore, genetic disruption of the interaction between metformin and prmt6 attenuates the inhibitory effect of metformin on breast cancer growth. together, this work identifies a previously unrecognized mechanism for metformin to inhibit breast cancer growth.",2026 Feb,41327885.0,PubMed,,Undetermined / Default,4.0,-1,4.0
autophagy stimulation influenced the angiogenesis and metastasis behavior of human triple-negative breast cancer cells.,"introduction: breast cancer (bc) is a devastating condition with high morbidity and mortality rates in females. autophagy is an early-stage cell response against stressful conditions. emerging data have revealed the autophagy-angiogenesis interaction in terms of tumor development and metastasis. methods: here, the angiogenesis behavior of human mda-mb-231 cells was monitored after modulation of autophagy response in the presence of free 3-methyladenine (3-ma), metformin (met), or drug-loaded exosomes (3-ma@exos and met@exos). orthotopic transplantation was done using human bc cell-laden alginate/gelatin (alg/gel) microspheres in mice after treatment with met and/or 3-ma. results: met, and/or met@exos increased the cell migration rate and promoted human endothelial cell migration compared to the control cells (p<0.05). however, these features were blunted in 3-ma and 3-ma@exos groups (p<0.05). flow cytometry analysis revealed that the drug loading into exos did not influence internalization capacity or cell survival (p>0.05). elisa revealed that vascular endothelial growth factor (vegf) levels were reduced in met and 3-ma-treated cells, with more pronounced reductions in the free 3-ma groups. real-time pcr analysis showed diminished expression of several angiogenesis-related genes, except for platelet endothelial cell adhesion molecule-1 (pecam-1) in the met@exos, 3-ma, and 3-ma@exos groups. met treatment increased the metastasis and tumor formation in mice mammary glands after orthotopic transplantation of bc tumoroids. conclusion: these data indicate that autophagy modulation can alter the angiogenesis and metastatic behavior of human bc cells in vitro and in vivo. exos are valid bio-shuttles for the delivery of autophagy modulators in csc-targeted therapies.",2025,41322395.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
nir/us-responsive injectable hyaluronic acid-based nickel sulfide hydrogel as a smart platform for synergistic antitumor therapy.,"breast cancer is one of the most prevalent malignant tumors worldwide and a leading cause of cancer-related mortality, underscoring the urgent need for innovative therapeutic strategies. in this study, we developed an injectable hydrogel-based system, in which polyvinylpyrrolidone (pvp)-modified nis(2-x)@pvp nanospheres were incorporated with metformin hydrochloride (mh) and dispersed in a hyaluronic acid (ha) hydrogel matrix to form the nis(2-x)@pvp@ha tumor treatment platform. this system exhibits excellent photothermal performance under near-infrared (nir) light irradiation and can be employed for tumor photothermal therapy (ptt). the ni(2+) released from the degradation of nis(2-x)@pvp nanospheres can catalyze the decomposition of endogenous hydrogen peroxide in tumor cells, thereby generating toxic hydroxyl radicals for chemodynamic therapy (cdt). by altering the ha concentration, the internal pore structure, mechanical properties, drug release behavior, and swelling capacity of the hydrogel can be modulated. the loaded antitumor drug mh further enhances the therapeutic efficacy. under nir and ultrasound stimulation, this platform enables controlled drug release. in vitro and in vivo experiments have demonstrated that the nis(2-x)@pvp@ha hydrogel achieves the synergistic treatment of ptt/cdt/chemotherapy for tumor tissues. kyoto encyclopedia of genes and genomes pathway analysis suggested that activation of the mapk signaling pathway was a key mechanism underlying tumor cell death. this work presents a rational design strategy that addresses the related challenges in breast cancer and promotes precise cancer therapy.",2026 Jan,41308779.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
impact of sodium glucose cotransporter 2 inhibitors on bladder cancer and breast cancer: a pharmacovigilance analysis and mendelian randomization study.,"background: there is conflicting real-world evidence regarding the risk of breast and bladder cancer associated with sodium glucose cotransporter 2 (sglt2) inhibitors. we conducted a pharmacovigilance study on sglt2 inhibitors and breast and bladder cancer using the us fda adverse event reporting system (faers) and a mendelian randomization (mr) study. research design and methods: we used aersmine to mine adverse events from faers. we provided proportional reporting ratio (prr) with 95% confidence interval (ci), and the lower limit of the 95% credible interval of the information component (ic(025)). a two-sample mr approach was used to investigate the causal relationship between sglt2 inhibition and breast and bladder cancer. results: we did not find a disproportionate association between sglt2 inhibitors (prr = 1.26; 95%ci 1.05-1.51; p = 0.014; ic(025) = 0.01) and their molecules with breast cancer. sglt2 inhibitors were associated with a disproportionately higher reporting frequency of bladder cancer events compared to metformin, dipeptidyl peptidase 4 inhibitors, or glucagon-like peptide-1 receptor agonists. mr analysis results showed that sglt2 inhibition was associated with a higher risk of bladder cancer (odds ratio 1.01; 95%ci 1.00-1.01; p = 0.004). conclusion: our results suggest that the use of sglt2 inhibitors is associated with a higher reporting frequency/risk of bladder cancer, rather than breast cancer.",2025 Nov 27,41283794.0,PubMed,,Undetermined / Default,4.0,-1,4.0
"investigations of potential therapeutic targets from high-throughput, label-free, quantitative proteomic studies in mda-mb-468 cells treated with metformin and electrical pulses.","high-throughput, label-free quantitative proteomic analyses, along with cell viability and reactive oxygen species (ros) studies, were performed on mda-mb-468 human triple-negative breast cancer (tnbc) cells, to gain mechanistic insights into therapeutic actions. tnbc was chosen as it is the most lethal subtype of breast cancer, highly aggressive, prone to recurrence and metastasis, with the highest prevalence in black women. the absence of specific biomarkers limits targeted therapies. this unmet need was studied using proteomics, after treating the cells with electrical pulses (ep) combined with metformin (met). with the ep + met treatment (1000 v/cm, 1 mm), cell viability dropped to 25.6 % after 24 h and ros increased to 179 %, compared to control at 100 %. proteomics revealed 125 upregulated and 37 downregulated proteins in ep + met, compared to met alone, involving enzymes, proliferation markers, and kinases. key gene changes included upregulation of alad, mki67, and lrch4, and downregulation of eif1ax, nsun5, and gns. lrch4 and gns are suggested to be potential novel therapeutic targets, as lrch4 upregulation links to inhibition of the mtor/pi3k/akt pathway, reducing proliferation, while gns downregulation suppresses tumor growth and metastasis. overall, proteomics-based preliminary findings suggest that ep + met modulate tnbc pathways, identifying potential biomarkers and providing a foundation for future validation.",2026 Mar,41232409.0,PubMed,,Undetermined / Default,4.0,-1,4.0
"lep and foxo1 genes, as a proposed tumor suppressor autophagic cell death related genes, can be targeted by antidiabetic therapy in nondiabetic breast cancer patients.","introduction: breast cancer can be treated effectively with personalized, gene-targeted therapies due to its molecular and genetic differences. our study aims to identify breast cancer-specific tumor suppressor genes related to autophagic cell death and discover new drugs that target these mechanisms, even if they are not breast cancer-specific. materials and methods: gene intensity values ​​of 457 tumor and 19 healthy breast tissues were used to determine downregulated and upregulated genes related to autophagy and apoptosis using bioconductor r program via limma package. then, genes affecting survival were identified by survival analysis via kaplan-meier plotter tool. furthermore, the signalling pathways associated with these genes and targeting candidate drug components were determined by gene enrichment analysis using ""kegg pathway option"" and drug matador in ""shinygo 0.82"" web-tool, respectively. results: breast cancer tumor tissues showed downregulation of genes related to autophagy and apoptosis (c19orf12, cryab, lep, srpx, snca, foxo1) and upregulation of others (slc7a5, atp2a2, inhba, atp5if1). among these, slc7a5, c19orf12, lep, sprx, snca, and foxo1 affected patient survival and prognosis. the ampk signaling pathway, targeting foxo1 and lep, was identified as key. only the lep gene was targeted by metformin, pioglitazone, rosiglitazone, and troglitazone. conclusion: in our study, survival associated lep and foxo1 genes were identified as candidate tumor suppressor genes associated with autophagic cell death in non-obese and non-diabetic breast cancer patients. anti-diabetic drugs such as metformin, pioglitazone, rosiglitazone, troglitazone are proposed as candidate components in the treatment processes by targeting the lep gene in nondiabetic breast cancer patients.",2025 Nov 10,41212318.0,PubMed,,Undetermined / Default,4.0,-1,4.0
metformin alleviates ribociclib-induced lung injury by restoring impaired autophagy via targeting mucolipin-1.,"ribociclib, a cornerstone cdk4/6 inhibitor for advanced breast cancer, carries a risk of serious pulmonary toxicity, including rare but fatal interstitial lung disease. this study demonstrates that ribociclib directly induces alveolar epithelial cell apoptosis, driving lung injury in mice and human alveolar epithelial cells. mechanistically, we identify an off-target activation of mucolipin-1 (mcoln1) as the critical event, which arrests autophagic flux by blocking autophagosome-lysosome fusion. moreover, this autophagic impairment precedes and precipitates apoptosis independently of cdk4/6 inhibition. crucially, we reveal the antidiabetic drug metformin as a potent therapeutic intervention. metformin rescues ribociclib-induced toxicity both in vitro and in vivo by restoring autophagic flux through suppressing mucolipin-1 expression to overcome the autophagosome-lysosome fusion blockade. this significantly attenuates epithelial apoptosis, inflammatory infiltration, and pathological damage in the lungs. our work provides the first demonstration of mucolipin-1-mediated autophagic arrest as the core mechanism underlying ribociclib's pulmonary toxicity and establishes metformin as a clinically actionable strategy for mitigation, highlighting autophagic flux restoration as a new paradigm for countering kinase inhibitor-related organ toxicities.",2026 Jan,41207516.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
"time-restricted eating and metformin in invasive breast cancer or dcis: a randomized, phase iib, presurgical trial. preliminary safety analysis.","cancer cells exhibit metabolic flexibility between anaerobic glycolysis and oxidative phosphorylation. preclinical data showed that metformin, an oxidative phosphorylation inhibitor, combined with fasting-induced hypoglycemia led to activation of the pp2a-gsk3ss-mcl1 axis and inhibition of tumor growth. a window-of-opportunity trial was designed to evaluate the effect of metformin and nightly fasting on proliferation in invasive breast cancer or ductal carcinoma in situ (dcis). the primary endpoint is the pretreatment/posttreatment change of ki67 in cancer tissue, and the co-primary endpoint is the difference in posttreatment ki67 in cancer-adjacent dcis or high-risk lesions. participants with hormone receptor-positive invasive breast cancer or dcis candidates to surgery are being accrued and randomized to either (i) fasting for >/=16 hours nightly, plus nutritional counseling and daily metformin with continuous glucose monitoring, or (ii) continuous glucose monitoring. the intervention lasts 4 to 6 weeks with gradual metformin ramp up to limit gastrointestinal disturbances. the safety of the combination was evaluated as a primary interim endpoint. the frequency of dose-limiting toxicity (>/=g3 adverse events related to treatment) was assessed in the first 14 participants in the experimental arm. most adverse events were of low grade (g1: 50; 90.9%) and unrelated to the treatment (g1: 26 unrelated; 52%). no one discontinued treatment because of toxicity, and no dose-limiting toxicities were observed, so the escalation phase of metformin was significantly shortened from 7 to 3 days. the results of this project will expand knowledge of this prevention approach and possibly provide the basis for large-scale primary prevention studies in at-risk women. prevention relevance: in a context of rising cancer drug costs, this research explores a low-cost treatment to optimize breast cancer preventive intervention. the approach is safe and based on repurposed drugs that could enhance prevention strategies for obesity- and insulin-related cancers, offering immediate applicability to a large-scale trial in women at risk.",2026 Jan 6,41165048.0,PubMed,,Undetermined / Default,4.0,14,3.0
an overview on the mechanism of metformin in the reduction of breast cancer.,"the incidence of diabetes is markedly increasing worldwide. in addition to cardiovascular complications, many epidemiological studies have demonstrated that diabetic patients have a markedly increased risk of developing many types of cancer and several meta-analyses have found that metformin, the most commonly prescribed medication for type 2 diabetes, is associated with a lower risk of developing several cancers. therefore, the suggested mechanism of metformin in the reduction of breast cancer will be discussed in this review.",2025 Sep,41164619.0,PubMed,,Systematic Review / Meta-Analysis,10.0,-1,10.0
associations of commonly used concomitant medications with survival and adverse event outcomes in breast cancer.,"background: the impact of commonly used non-cancer medications on breast cancer outcomes remains underexplored in large datasets. aims: to evaluate the associations between commonly used non-cancer medications and survival as well as adverse events in patients with breast cancer. materials & methods: individual participant data from 19 breast cancer clinical trials (n = 23,211) were pooled. cox proportional hazards models and logistic regression analyses were used to assess associations between medication use and overall survival, progression-free survival and grade >/= 3 adverse events. analyses were adjusted for demographic, cancer and comorbidity factors. results: proton pump inhibitor use was associated with poorer overall survival (hr 1.19, 95% ci: 1.08-1.30), progression-free survival (hr 1.11, 95% ci: 1.02-1.21) and an increased risk of grade >/= 3 adverse events (or 1.36, 95% ci: 1.21-1.53). beta-blockers, ace inhibitors/arbs and calcium channel blockers were linked with higher adverse event rates but showed no significant impact on survival. statins and metformin demonstrated no significant associations with either survival or adverse events. conclusion: these findings emphasise the need for careful management of concomitant medications in breast cancer care and support ongoing research to optimise treatment safety and efficacy.",2025 Nov,41163361.0,PubMed,,Clinical Trial (Phase I/II) / Prospective Cohort,8.0,23211,9.0
enhancing the efficacy of metformin in neoadjuvant therapy for breast cancer: a meta-analysis based on randomized clinical trials.,"introductionthis meta-analysis aims to evaluate the impact of increasing the use of metformin in neoadjuvant treatment for breast cancer (bc) on the rate of pathological complete response (pcr) in patients.methodsa systematic search was conducted in four electronic databases: pubmed, web of science, embase, and cochrane library. the search scope covered all the literature from the establishment of the databases to april 2025. the risk ratio (rr) and 95% confidence interval (ci) were calculated. the outcome indicator was the pcr rate.resultthis meta-analysis included a total of 8 randomized controlled trials (rcts), involving 474 patients. the results showed that there was no statistically significant difference in the pcr rate between the experimental group containing metformin and the control group (rr = 1.21, 95% ci: [0.85, 1.71], p = 0.28). subgroup analysis revealed that there were no significant differences in the pcr rate between the two groups in patients with metabolic syndrome (rr = 2.09, 95% ci [0.55, 7.85], p = 0.28), patients without metabolic syndrome (rr = 1.12, 95% ci [0.81, 1.55], p = 0.49), patients from eastern countries (rr = 1.15, 95% ci [0.63, 2.11], p = 0.65), and patients from western countries (rr = 1.32, 95% ci [0.75, 2.32], p = 0.34).conclusionthis study did not observe any effect of increasing the use of metformin on the pcr rate of patients in neoadjuvant treatment for bc.",2025 Jan-Dec,41161296.0,PubMed,,Systematic Review / Meta-Analysis,10.0,474,10.0
combination of simvastatin and metformin reduces triple-negative breast cancer tumor growth through akt/ampk/acc signaling axis.,"chemotherapy continues to be the standard of care for metastatic malignancies, such as triple-negative breast cancer (tnbc). although the treatment strategy increases survival rates marginally, it frequently leads to the development of resistant disease and side effects. it is imperative to develop an alternate chemotherapy formulation with better efficacy and lesser adverse effects in tnbc patients. cell viability and cholesterol level were measured using spectrophotometer and fluorometric assays. the 4t1 syngeneic balb/c female mice were used as an in vivo metastatic tnbc model. simvastatin (sim) and metformin (met) were administered in combination (3.5-7.0 and 175-350 mug/g body weight, respectively) and alone (sim 7.0 mug/g/day, or met 350 mug/g/day) orally over an 8-week period, and the standard anticancer drug docetaxel (doc) was administered at a dose of 24 mug/g body weight through ip injection every 3 weeks. phosphorylation levels of protein and histopathology of tumors were studied by immunoblot and h & e staining methods, respectively. we report that the viability of tnbc cells is significantly and synergistically reduced by sim and met co-treatment, with negligible adverse effects on normal breast cell line. sim met combination down regulates phosphorylation at specific sites of akt (ser-473/thr-308) and ampkalpha (ser-485/491) and up regulates acc phosphorylation (ser-79), which in turn minimizes the cellular cholesterol synthesis in the tnbc model. further study demonstrated that the combination significantly reduced tumor formation effectively than docetaxel. study confirmed that the combination of sim and met is a promising chemotherapeutic approach for metastatic tnbc.",2026 Jan,41118580.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
mda-mb-231 breast cancer cells adapted to anchorage-independent growth reveal senescent-like phenotype and persistent downregulation of pd-l1 expression.,"introduction: metastasis remains the primary cause of mortality in breast cancer, particularly in aggressive triple-negative (tnbc) subtypes. a crucial yet understudied aspect of this process involves cancer cell survival in a detached state and subsequent reattachment at distant sites. while in vitro models can capture early detachment events like tumor budding, the subsequent reattachment phase is often overlooked. to address this, we developed a tnbc cell model that effectively mimics metastatic behavior following re-attachment at secondary locations. methods: we generated clones of mda-mb-231 tnbc cells through consecutive selection for enhanced anchorage-independent survival. this was achieved using 2-deoxy-d-glucose (2dg) alone, 2dg combined with metformin, or poly(2-hydroxyethyl methacrylate) (polyhema)-coated surfaces. the resulting adapted clones were characterized by rna transcriptomics, comparing them to one-time treated non-selected cells. real-time cellular energy metabolism was assessed via seahorse analysis, while mitochondrial mass and intracellular localization were determined by flow cytometry and fluorescent microscopy, respectively. results: transcriptomic analysis of the mda-mb-231 clones adapted to anchorage-independent growth revealed distinct alterations in gene expression, confirmed by principal component analysis showing clear separation from control clusters. these adapted clones exhibited increased mesenchymal and stemness markers, downregulated cell cycle genes, and a senescent-like phenotype. interestingly, while nuclear-encoded oxidative phosphorylation (oxphos) genes were downregulated, mitochondrial-encoded oxphos genes were upregulated, with no significant shift in overall atp production as measured by seahorse analysis. paradoxically, despite increased cd274 (pd-l1) transcription, surface pd-l1 expression was consistently reduced, likely due to endoplasmic reticulum (er) stress and impaired n-glycosylation. discussion: our adapted clones provide a novel in vitro model of early metastatic behavior, unveiling a cancer cell survival strategy that balances energy metabolism with adaptation to stress. these clones also demonstrated enhanced detachment properties and upregulation of proto-oncogenes, in addition to their senescent-like phenotype. critically, the uncoupling of cd274 transcription from surface pd-l1 expression suggests a potential therapeutic vulnerability that could be exploited in tnbc.",2025,41103963.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
metformin and estrogen modulation in labc with t2dm: a 36-month randomized trial.,"background: patients with locally advanced breast cancer (labc) and type 2 diabetes mellitus (t2dm) confront dual challenges: hormone-driven tumor progression and metabolic dysregulation. although metformin has shown antitumor potential, its effect on estrogen modulation and synergy with nursing care remains unclear in clinical settings. purpose: to investigate the impact of metformin on estrogen regulation and prognosis-related nursing outcomes in patients with labc and t2dm. methods: this multicenter retrospective cohort study with a prospective randomized intervention component evaluated clinical, metabolic, and care-related indicators during the perioperative period. serum estradiol (e2) was measured at baseline, post-chemotherapy, and 30 days post-surgery. glucose metabolism was assessed by fasting blood glucose, hba1c, and cv%, alongside hypoglycemia monitoring. care quality metrics included wound healing time, infection rate, chemotherapy adherence, and hospital stay length. survival outcomes (36-month pfs and os) were analyzed via kaplan-meier curves and cox models adjusted for age, bmi, and tumor stage. statistical analysis used spss 26.0; continuous variables were expressed as mean +/- sd, compared with t-tests; hrs and 95% cis were reported with p < 0.05 considered significant. results: metformin led to a 19.3% reduction in e2 levels post-chemotherapy, with sustained suppression, outperforming the control group. glycemic metrics improved: fasting glucose compliance rose to 83.3%, cv% decreased by 38.2%, and hypoglycemia dropped by 66.7%. wound healing time was shortened by 3.3 days. chemotherapy adherence reached 92.8% (vs 73.6%) and self-care scores improved by 25.8% (vs 7.2%). mechanistic analysis indicated enhanced immune microenvironment regulation and reduced pro-inflammatory cytokines. conclusion: metformin, combined with structured nursing care, significantly improves estrogen control, metabolic stability, and survival in labc patients with t2dm. these findings support its role in integrated pharmaco-nursing management of tumor-metabolic comorbidities.",2025,41079227.0,PubMed,,Retrospective Cohort / Case-Control,6.5,-1,6.0
retraction note.,"the editor-in-chief, in accordance with the publisher, has retracted the following articles published between 2017 and 2020 on the grounds of figure duplication and manipulation, subsequent to concerns raised on pubpeer: 1. y.-x. liu, y. sun. mmp-2 participates in the sclera of guinea pig with form-deprivation myopia via igf-1/stat3 pathway. eur rev med pharmacol sci 2018; 22 (9): 2541-2548-doi: 10.26355/eurrev_201805_14945-pmid: 29771404. duplications were found in panels b and c of figure 1 and in the right eye/left eye of the western blot in figure 3a and a previously published article. 2. w.-y. niu, l. chen, p. zhang, h. zang, b. zhu, w.-b. shao. circ_0091579 promotes proliferative ability and metastasis of liver cancer cells by regulating microrna-490-3p. eur rev med pharmacol sci 2019; 23 (23): 10264-10273-doi: 10.26355/eurrev_201912_19664-pmid: 31841181. duplications were found in figures 2d and 4d with previously published articles. 3. g.-z. tan, m. li, x. tan, m.-l. shi, k. mou. mir-491 suppresses migration and invasion via directly targeting tpx2 in breast cancer. eur rev med pharmacol sci 2019; 23 (22): 9996-10004-doi: 10.26355/eurrev_201911_19566-pmid: 31799669. a duplication was found in panels d and e of figure 2. 4. l. shi, y. yuan, h.-y. li. microrna-139-3p suppresses growth and metastasis of glioblastoma via inhibition of nin1/rpni2 binding protein 1 homolog. eur rev med pharmacol sci 2019; 23 (10): 4264-4274-doi: 10.26355/eurrev_201905_17931-pmid: 31173298. a duplication was found in panels a and b of figure 2. 5. d.-j. yu, y.-h. li, m. zhong. lncrna fbxl19-as1 promotes proliferation and metastasis via regulating epithelial-mesenchymal transition in non-small cell lung cancer. eur rev med pharmacol sci 2019; 23 (11): 4800-4806-doi: 10.26355/eurrev_201906_18065-pmid: 31210311. several duplications were found in panels a, b, c, d, e, and f of figure 3 with previously published articles, resulting in complete manipulation. duplications were also found in panel a of figure 2 with a previously published article. 6. x.-z. wang, z.-x. yu, b. nie, d.-m. chen. perindopril inhibits myocardial apoptosis in mice with acute myocardial infarction through tlr4/nf-kappab pathway. eur rev med pharmacol sci 2019; 23 (15): 6672-6682-doi: 10.26355/eurrev_201908_18558-pmid: 31378910. duplications were found in the western blots of figure 3 with a previously published article, as well as in the western blot of figure 4. a duplication was also detected in panel c of figure 2. 7. k. chen, a. abuduwufuer, h. zhang, l. luo, m. suotesiyali, y. zou. snhg7 mediates cisplatin-resistance in non-small cell lung cancer by activating pi3k/akt pathway. eur rev med pharmacol sci 2019; 23 (16): 6935-6943-doi: 10.26355/eurrev_201908_18733-pmid: 31486493. duplications were found in panel c of figure 3 with previously published articles, as well as between panels c of figure 2. 8. d. xu, r. liao, x.-x. wang, z. cheng. effects of mir-155 on hypertensive rats via regulating vascular mesangial hyperplasia. eur rev med pharmacol sci 2018; 22 (21): 7431-7438-doi: 10.26355/eurrev_201811_16283-pmid: 30468491. duplications were found between the western blots of figure 3 and a previously published article. 9. s.-l. tang, q.-h. huang, l.-g. wu, c. liu, a.-l. cai. mir-124 regulates osteoblast differentiation through gsk-3beta in ankylosing spondylitis. eur rev med pharmacol sci 2018; 22 (20): 6616-6624-doi: 10.26355/eurrev_201810_16136-pmid: 30402833. duplications were found in the western blots of panel c in figure 4, as well as in the western blots of figure 3. 10. p. wang, l.-d. zhang, m.-c. sun, w.-d. gu, h.-z. geng. over-expression of mir-124 inhibits mmp-9 expression and decreases invasion of renal cell carcinoma cells. eur rev med pharmacol sci 2018; 22 (19): 6308-6314-doi: 10.26355/eurrev_201810_16041-pmid: 30338828. duplications were found among the western blots of figure 3. other duplications were also found in panel d of figure 3, as well as in panel b of figure 2, with previously published articles. 11. d.-p. chen, s.-h. hou, y.-g. chen, m.-s. chen, z.-z. hu, z.-j. zhang. l-butyl phthalein improves neural function of vascular dementia mice by regulating the pi3k/akt signaling pathway. eur rev med pharmacol sci 2018; 22 (16): 5377-5384-doi: 10.26355/eurrev_201808_15740-pmid: 30178865. a duplication was found between the western blot of b-actin of figures 1 and 3, as well as in the western blots of bcl-2 and p-akt of figure 1. another duplication was found between panel a of figure 2 and a previously published article. 12. h.-g. zhang, y.-w. pan, j. feng, c.-t. zeng, x.-q. zhao, b. liang, w.-w. zhang. trim66 promotes malignant progression of hepatocellular carcinoma by inhibiting e-cadherin expression through the emt pathway. eur rev med pharmacol sci 2019; 23 (5): 2003-2012-doi: 10.26355/eurrev_201903_17239-pmid: 30915743. several duplications were found in panels c and d of figure 5, in the western blots of figure 5, in panels e and f of figure 2, as well as in panels a and c of figure 3 with previously published articles. 13. x.-y. niu, z.-q. zhang, p.-l. ma. mirna-221-5p promotes breast cancer progression by regulating e-cadherin expression. eur rev med pharmacol sci 2019; 23 (16): 6983-6990-doi: 10.26355/eurrev_201908_18738-pmid: 31486498. duplications were found between the panels of mir-221-5p-inhibitor of letter c, as well as between the panels of letter d in figure 2. 14. s.-j. zhao, h.-d. zhao, j. li, h. zhang, d.-t. gao, q. wang. cd151 promotes breast cancer metastasis by activating tgf-beta1/smad signaling pathway. eur rev med pharmacol sci 2018; 22 (21): 7314-7322-doi: 10.26355/eurrev_201811_16268-pmid: 30468476. duplication was found between panels nc and sh-cd151-2 of figure 3. 15. d. han, k. wang, t. zhang, g.-c. gao, h. xu. natural killer cell-derived exosome-entrapped paclitaxel can enhance its anti-tumor effect. eur rev med pharmacol sci 2020; 24 (10): 5703-5713-doi: 10.26355/eurrev_202005_21362-pmid: 32495906. a duplication was found between the panels of figure 4. 16. l. liu, y. zhu, a.-m. liu, y. feng, y. chen. long noncoding rna linc00511 involves in breast cancer recurrence and radioresistance by regulating stxbp4 expression via mir-185. eur rev med pharmacol sci 2019; 23 (17): 7457-7468-doi: 10.26355/eurrev_201909_18855-pmid: 31539133. duplications were found in panels d of figure 2. 17. j.-l. zhao, c.-l. wang, y.-l. liu, g.-y. zhang. long noncoding rna snhg14 enhances migration and invasion of ovarian cancer by upregulating dgcr8. eur rev med pharmacol sci 2019; 23 (23): 10226-10233-doi: 10.26355/eurrev_201912_19659-pmid: 31841176. duplications were found between panels d and e of figure 2 and in the western blot of figure 4a with a previously published article. 18. y.-l. fu, q.-h. zhang, x.-w. wang, h. he. antidiabetic drug metformin mitigates ovarian cancer skov3 cell growth by triggering g2/m cell cycle arrest and inhibition of m-tor/pi3k/akt signaling pathway. eur rev med pharmacol sci 2017; 21 (5): 1169-1175. pmid: 28338172. duplications were found between the western blots of figure 5 with previously published articles. 19. l. zhou, l. li, y. wang, q. gao, y.-q. geng. effects of rankl on the proliferation and apoptosis of fibroblast-like synoviocytes in rheumatoid arthritis through regulating the nf-kappab signaling pathway. eur rev med pharmacol sci 2019; 23 (21): 9215-9221-doi: 10.26355/eurrev_201911_19413-pmid: 31773672. several duplications were found in the western blots of figure 4a. 20. c.-h. shi, y. huang, w.-q. li, r.-g. chen. influence of lncrna uca1 on glucose metabolism in rats with diabetic nephropathy through pi3k-akt signaling pathway. eur rev med pharmacol sci 2019; 23 (22): 10058-10064-doi: 10.26355/eurrev_201911_19573-pmid: 31799676. a duplication was found between pi3k and b-actinin western blots of figure 3. the publisher requested the original data from the corresponding authors of all articles, but no responses were received. these articles have been retracted. the publisher apologizes for any inconvenience this may cause.",2025 Sep,41059755.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
targeting ampk for cancer therapy: metabolic reprogramming as a therapeutic strategy.,"amp-activated protein kinase (ampk) is a highly conserved serine/threonine kinase that functions as a central regulator of cellular energy status. in cancer, where metabolic reprogramming enables rapid proliferation and survival under stress, ampk functions as a metabolic checkpoint that restrains tumor growth by inhibiting biosynthetic pathways and promoting catabolic processes, such as autophagy and fatty acid oxidation. given its role in opposing many hallmarks of cancer metabolism, ampk has attracted significant interest as a therapeutic target. this review examines the molecular mechanisms by which ampk influences tumor progression and evaluates the preclinical and clinical evidence for pharmacological ampk activation using agents such as metformin, phenformin, and canagliflozin. while promising anti-tumor effects have been reported in specific contexts-such as her2-positive breast cancer, colorectal cancer, and metabolically distinct lung cancer subtypes-clinical efficacy remains variable. limitations include indirect activation mechanisms, low tissue penetrance, tumor heterogeneity, and lack of reliable biomarkers for patient selection. we discuss emerging strategies to overcome these challenges, including combination therapies, metabolic stratification, and the development of direct ampk activators or mrna-based delivery platforms. together, these insights support a renewed focus on ampk as a modifiable node in cancer metabolism and a candidate for integration into precision oncology frameworks.",2025,41050082.0,PubMed,,Narrative Review / Editorial / Commentary,4.0,-1,4.0
